timestamp, pose_x, pose_y, velocity_x, velocity_y, angle
7.53333,36.1718,3.71128,5.8998,-0.0491672,-0.0083335
7.56667,36.3685,3.70964,5.8998,-0.0491672,-0.0083335
7.6,36.5651,3.708,5.8998,-0.0491672,-0.0083335
7.63333,36.7618,3.70636,5.8998,-0.0491672,-0.0083335
7.66667,36.9584,3.70472,5.8998,-0.0491672,-0.0083335
7.7,37.1551,3.70308,5.8998,-0.0491672,-0.0083335
7.73333,37.3518,3.70144,5.8998,-0.0491672,-0.0083335
7.76667,37.5484,3.69981,5.8998,-0.0491672,-0.0083335
7.8,37.7451,3.69817,5.8998,-0.0491672,-0.0083335
7.83333,37.9417,3.69653,5.8998,-0.0491672,-0.0083335
7.86667,38.1384,3.69489,5.8998,-0.0491672,-0.0083335
7.9,38.3351,3.69325,5.8998,-0.0491672,-0.0083335
7.93333,38.5317,3.69161,5.8998,-0.0491672,-0.0083335
7.96667,38.7284,3.68997,5.8998,-0.0491672,-0.0083335
8,38.925,3.68833,5.8998,-0.0491672,-0.0083335
8.03333,39.1217,3.68669,5.8998,-0.0491672,-0.0083335
8.06667,39.3184,3.68506,5.8998,-0.0491672,-0.0083335
8.1,39.515,3.68342,5.8998,-0.0491672,-0.0083335
8.13333,39.7117,3.68178,5.8998,-0.0491672,-0.0083335
8.16667,39.9083,3.68014,5.8998,-0.0491672,-0.0083335
8.2,40.105,3.6785,5.8998,-0.0491672,-0.0083335
8.23333,40.3017,3.67686,5.8998,-0.0491672,-0.0083335
8.26667,40.4983,3.67522,5.8998,-0.0491672,-0.0083335
8.3,40.695,3.67358,5.8998,-0.0491672,-0.0083335
8.33333,40.8916,3.67194,5.8998,-0.0491672,-0.0083335
8.36667,41.0883,3.67031,5.8998,-0.0491672,-0.0083335
8.4,41.285,3.66867,5.8998,-0.0491672,-0.0083335
8.43333,41.4816,3.66703,5.8998,-0.0491672,-0.0083335
8.46667,41.6783,3.66539,5.8998,-0.0491672,-0.0083335
8.5,41.8749,3.66375,5.8998,-0.0491672,-0.0083335
8.53333,42.0716,3.66211,5.8998,-0.0491672,-0.0083335
8.56667,42.2683,3.66047,5.8998,-0.0491672,-0.0083335
8.6,42.4649,3.65883,5.8998,-0.0491672,-0.0083335
8.63333,42.6616,3.65719,5.8998,-0.0491672,-0.0083335
8.66667,42.8582,3.65556,5.8998,-0.0491672,-0.0083335
8.7,43.0549,3.65392,5.8998,-0.0491672,-0.0083335
8.73333,43.2516,3.65228,5.8998,-0.0491672,-0.0083335
8.76667,43.4482,3.65064,5.8998,-0.0491672,-0.0083335
8.8,43.6449,3.649,5.8998,-0.0491672,-0.0083335
8.83333,43.8415,3.64736,5.8998,-0.0491672,-0.0083335
8.86667,44.0382,3.64572,5.8998,-0.0491672,-0.0083335
8.9,44.2349,3.64408,5.8998,-0.0491672,-0.0083335
8.93333,44.4315,3.64244,5.8998,-0.0491672,-0.0083335
8.96667,44.6282,3.64081,5.8998,-0.0491672,-0.0083335
9,44.8248,3.63917,5.8998,-0.0491672,-0.0083335
9.03333,45.0215,3.63753,5.8998,-0.0491672,-0.0083335
9.06667,45.2182,3.63589,5.8998,-0.0491672,-0.0083335
9.1,45.4148,3.63425,5.8998,-0.0491672,-0.0083335
9.13333,45.6115,3.63261,5.8998,-0.0491672,-0.0083335
9.16667,45.8081,3.63097,5.8998,-0.0491672,-0.0083335
9.2,46.0048,3.62933,5.8998,-0.0491672,-0.0083335
9.23333,46.2015,3.62769,5.8998,-0.0491672,-0.0083335
9.26667,46.3981,3.62605,5.8998,-0.0491672,-0.0083335
9.3,46.5948,3.62442,5.8998,-0.0491672,-0.0083335
9.33333,46.7914,3.62278,5.8998,-0.0491672,-0.0083335
9.36667,46.9881,3.62114,5.8998,-0.0491672,-0.0083335
9.4,47.1848,3.6195,5.8998,-0.0491672,-0.0083335
9.43333,47.3814,3.61786,5.8998,-0.0491672,-0.0083335
9.46667,47.5781,3.61622,5.8998,-0.0491672,-0.0083335
9.5,47.7747,3.61458,5.8998,-0.0491672,-0.0083335
9.53333,47.9714,3.61294,5.8998,-0.0491672,-0.0083335
9.56667,48.1681,3.6113,5.8998,-0.0491672,-0.0083335
9.6,48.3647,3.60967,5.8998,-0.0491672,-0.0083335
9.63333,48.5614,3.60803,5.8998,-0.0491672,-0.0083335
9.66667,48.758,3.60639,5.8998,-0.0491672,-0.0083335
9.7,48.9547,3.60475,5.8998,-0.0491672,-0.0083335
9.73333,49.1514,3.60311,5.8998,-0.0491672,-0.0083335
9.76667,49.348,3.60147,5.8998,-0.0491672,-0.0083335
9.8,49.5447,3.59983,5.8998,-0.0491672,-0.0083335
9.83333,49.7413,3.59819,5.8998,-0.0491672,-0.0083335
9.86667,49.938,3.59655,5.8998,-0.0491672,-0.0083335
9.9,50.1347,3.59492,5.8998,-0.0491672,-0.0083335
9.93333,50.3313,3.59328,5.8998,-0.0491672,-0.0083335
9.96667,50.528,3.59164,5.8998,-0.0491672,-0.0083335
