timestamp, pose_x, pose_y, velocity_x, velocity_y
7.16667,-3.35373,-4.10735,2.4912,-0.095448
7.2,-3.23855,-4.11159,2.59267,-0.0987958
7.23333,-3.1224,-4.11702,2.68655,-0.105553
7.26667,-3.0046,-4.12412,2.77576,-0.116845
7.3,-2.88251,-4.1331,2.86913,-0.132905
7.33333,-2.7569,-4.14178,2.96377,-0.14635
7.36667,-2.62899,-4.14998,3.05573,-0.156811
7.4,-2.49707,-4.1587,3.15064,-0.167854
7.43333,-2.33181,-4.13154,3.34088,-0.0644109
7.46667,-2.17428,-4.10959,3.48667,0.0116846
7.5,-2.01793,-4.093,3.61339,0.0628286
7.53333,-1.86367,-4.08209,3.72017,0.0906915
7.56667,-1.7063,-4.07489,3.82555,0.103868
7.6,-1.54929,-4.07016,3.91866,0.107874
7.63333,-1.38814,-4.06808,4.01507,0.10309
7.66667,-1.224,-4.06633,4.11079,0.0977635
7.7,-1.05631,-4.06502,4.20759,0.0915944
7.73333,-0.883789,-4.06425,4.3095,0.0843862
7.76667,-0.710549,-4.06387,4.40295,0.0767177
7.8,-0.534608,-4.06429,4.49507,0.0673092
7.83333,-0.355168,-4.06302,4.58857,0.0642305
7.86667,-0.169928,-4.06079,4.69053,0.0645265
7.9,0.0217927,-4.05632,4.80222,0.0718511
7.93333,0.212453,-4.04936,4.89881,0.0862596
7.96667,0.410755,-4.03862,5.00937,0.111078
8,0.6236,-4.02568,5.1542,0.140274
8.03333,0.834292,-4.01328,5.277,0.164663
8.06667,1.04114,-4.00102,5.37473,0.186026
8.1,1.24979,-3.99005,5.46785,0.201102
8.13333,1.45832,-3.97595,5.55083,0.224452
8.16667,1.66258,-3.96405,5.61155,0.238402
8.2,1.86641,-3.9504,5.66454,0.25643
8.23333,2.07468,-3.94056,5.72596,0.260509
8.26667,2.27962,-3.93093,5.7704,0.263501
8.3,2.48848,-3.92482,5.82256,0.25504
8.33333,2.6913,-3.91647,5.85015,0.254572
8.36667,2.90022,-3.91797,5.89408,0.22303
8.4,3.10231,-3.91916,5.91183,0.195787
8.43333,3.30765,-3.9245,5.93798,0.158335
8.46667,3.50787,-3.92528,5.94519,0.139199
8.5,3.71064,-3.92647,5.95972,0.12078
8.53333,3.90415,-3.92021,5.94345,0.127828
8.56667,4.10437,-3.92071,5.95011,0.112804
8.6,4.29794,-3.91847,5.93504,0.108013
8.63333,4.49342,-3.91673,5.92763,0.102143
8.66667,4.68518,-3.91246,5.90921,0.104873
8.7,4.88216,-3.91158,5.90923,0.0965976
8.73333,5.07417,-3.90834,5.89357,0.0966698
8.76667,5.27222,-3.90847,5.89861,0.0860803
8.8,5.46404,-3.90468,5.88343,0.088984
8.83333,5.66037,-3.90326,5.88413,0.0841056
8.86667,5.85845,-3.90424,5.89025,0.0721538
8.9,6.05088,-3.90048,5.87791,0.0764372
8.93333,6.24871,-3.89789,5.88391,0.0765836
8.96667,6.44983,-3.89527,5.89967,0.0767708
9,6.64916,-3.89659,5.90809,0.0645153
9.03333,6.84528,-3.89781,5.90552,0.053892
9.06667,7.04345,-3.89751,5.90971,0.049162
9.1,7.24528,-3.90194,5.92496,0.0299819
9.13333,7.44171,-3.90523,5.92161,0.0164405
9.16667,7.64032,-3.90803,5.92547,0.00589466
9.2,7.84045,-3.90906,5.93371,0.00199777
9.23333,8.04225,-3.91179,5.94637,-0.00681141
9.26667,8.23993,-3.9141,5.9447,-0.0133949
9.3,8.43789,-3.91486,5.94408,-0.0143868
9.33333,8.63661,-3.91359,5.94593,-0.00885864
9.36667,8.86704,-3.9278,6.04773,-0.0528158
9.4,9.08594,-3.94015,6.10235,-0.0862403
9.43333,9.30464,-3.95168,6.15064,-0.113592
9.46667,9.52243,-3.9633,6.19099,-0.138306
9.5,9.74142,-3.9733,6.23082,-0.155349
9.53333,9.95921,-3.97789,6.26272,-0.153497
9.56667,10.1676,-3.98283,6.26166,-0.15293
9.6,10.3783,-3.98717,6.26793,-0.150544
9.63333,10.5869,-3.99035,6.2667,-0.144728
9.66667,10.7969,-3.99169,6.27024,-0.133711
9.7,11.0047,-3.99196,6.26639,-0.120492
9.73333,11.2113,-3.99396,6.25922,-0.114135
9.76667,11.4089,-3.99693,6.22434,-0.111502
9.8,11.6059,-4.0034,6.19117,-0.120188
9.83333,11.8041,-4.00969,6.16563,-0.127392
9.86667,12.0042,-4.01704,6.14833,-0.1372
9.9,12.2052,-4.02377,6.13594,-0.144011
9.93333,12.4061,-4.02995,6.12451,-0.14839
9.96667,12.609,-4.02434,6.12044,-0.115054
